X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
543553.492190 2332503.097170 4.247550 3.968395 15.172435
543213.737300 2331636.208860 3.879624 4.211628 12.730949
543266.448000 2331779.760250 2.660027 4.166898 12.831032
543408.909910 2332147.984010 4.382000 3.936358 13.616709
543291.485600 2331848.261720 3.608084 4.184254 12.934222
543279.396240 2331817.674560 2.961585 4.130492 12.912149
543178.885010 2331565.836240 3.060223 4.241039 12.869108
543149.695800 2331496.117130 3.296536 4.313049 12.930677
543535.257570 2332515.693600 3.135295 3.842784 15.551397
543167.040530 2331575.418330 4.639132 4.283895 13.133944
543525.714600 2332516.686770 3.248012 3.633869 15.739923
542960.831050 2331075.140410 3.402702 4.430304 14.365964
543111.347660 2331469.349240 4.164952 4.345979 13.457370
543357.447750 2332106.022710 2.367286 3.843149 14.052307
543159.021730 2331642.719360 3.016044 4.335024 13.694080
543046.476810 2331355.746400 4.277703 4.368055 13.970076
543006.532230 2331255.167850 4.305422 4.359085 14.206320
542958.368900 2331133.252690 4.731558 4.466106 14.615057
543192.023680 2331736.654660 3.201342 4.300526 13.778650
543075.960210 2331451.524780 3.774970 4.380793 13.967408
543184.985840 2331732.932370 3.770665 4.348254 13.868270
543029.594240 2331340.511350 4.673211 4.382085 14.194815
543442.454590 2332397.276860 2.945114 3.563272 15.623167
543000.840330 2331274.345640 4.437518 4.381770 14.404016
543181.379640 2331737.685550 3.761942 4.347199 13.954442
543126.149660 2331603.075200 3.392180 4.377030 13.998943
543242.871340 2331916.689580 4.372461 4.281863 14.288535
543382.060550 2332277.265010 3.132302 3.909825 15.309007
543016.421630 2331347.900330 4.723794 4.418857 14.476372
543440.020510 2332429.915410 3.203704 4.041861 16.027140
543075.739260 2331499.802610 4.294860 4.420752 14.243623
543152.339600 2331723.085570 4.111383 4.385682 14.356886
543088.085210 2331559.678960 3.804646 4.430480 14.375075
543041.827390 2331441.675050 2.954244 4.437940 14.502110
543123.397950 2331651.040530 3.034318 4.459652 14.344644
542907.282960 2331109.352810 4.426951 4.517421 15.402540
543178.040770 2331795.925540 4.616490 4.353176 14.428916
542971.091310 2331272.792110 4.481630 4.427757 14.888388
543030.088130 2331435.020570 3.852310 4.454717 14.667042
543077.585450 2331574.459230 3.852338 4.469173 14.655296
543306.202390 2332160.416020 2.457177 4.191526 15.388213
543041.672610 2331486.092960 4.850338 4.469134 14.745823
543251.174320 2332067.198240 3.953610 4.332394 15.430183
543320.414310 2332248.254390 4.282206 4.118329 16.004629
543157.295900 2331829.996700 4.342795 4.384375 15.033429
543158.275150 2331973.715940 3.346400 4.375982 16.170745
543020.726320 2331626.151490 4.144974 4.620403 15.972272
542920.335210 2331384.351620 3.366290 4.704298 16.349593
543213.636960 2332136.573240 2.597962 4.459114 16.684977
542896.522220 2331341.150760 3.261737 4.698979 16.559482
543293.391850 2332368.787960 2.632635 4.288864 17.665719
543172.683840 2332060.475340 3.588742 4.513722 16.670865
542871.892090 2331301.994810 3.228780 4.709218 16.818081
542945.633790 2331489.736020 3.494887 4.721948 16.436989
542913.987060 2331411.393550 4.653291 4.725163 16.592906
542925.241940 2331446.754150 4.737222 4.748399 16.580023
543335.831790 2332505.972050 2.891775 4.307358 18.479086
543203.125000 2332191.118530 4.183279 4.220133 17.366921
543258.016110 2332339.951900 2.624857 4.094086 17.935731
543322.009030 2332514.866210 3.003232 3.723157 18.802968
543298.540280 2332457.506100 4.195607 4.162163 18.535375
542947.820800 2331567.078000 3.581918 4.779284 16.846543
542906.022220 2331663.093510 2.954008 4.941969 18.228944
542898.540280 2331646.255620 4.588977 4.934516 18.226801
542953.823730 2331791.216310 2.991227 4.920687 18.256540
542953.519780 2331794.009770 2.627348 4.933748 18.279377
543134.007570 2332257.859500 3.305504 4.458814 19.182475
543035.067140 2332003.957400 4.069393 4.710312 18.539739
